ItinID,MktID,MktCoupons,Year,Quarter,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCountry,DestStateFips,DestState,DestStateName,DestWac,AirportGroup,WacGroup,TkCarrierChange,TkCarrierGroup,OpCarrierChange,OpCarrierGroup,RPCarrier,TkCarrier,OpCarrier,BulkFare,Passengers,MktFare,MktDistance,MktDistanceGroup,MktMilesFlown,NonStopMiles,ItinGeoType,MktGeoType
202524673057,20252467305703,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11298,1129806,30194,DFW,US,48,TX,Texas,74,XWA:DEN:DFW,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,293.0,1223,3,1223,1116,2,2
202524673062,20252467306203,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11298,1129806,30194,DFW,US,48,TX,Texas,74,XWA:DEN:DFW,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,375.5,1223,3,1223,1116,2,2
202524673065,20252467306503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11298,1129806,30194,DFW,US,48,TX,Texas,74,XWA:DEN:DFW,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,423.5,1223,3,1223,1116,2,2
202524673076,20252467307603,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11298,1129806,30194,DFW,US,48,TX,Texas,74,XWA:DEN:DFW,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,950.0,1223,3,1223,1116,2,2
202523980828,20252398082803,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11109,1110902,30189,COS,US,8,CO,Colorado,82,XWA:DEN:COS,66:82:82,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,311.5,655,2,655,654,2,2
202523983165,20252398316505,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,429.72,582,2,582,582,2,2
202523998896,20252399889602,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,134.0,582,2,582,582,2,2
202523998907,20252399890702,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,189.5,582,2,582,582,2,2
202523998910,20252399891002,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,199.0,582,2,582,582,2,2
202523998916,20252399891602,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,249.0,582,2,582,582,2,2
202523998957,20252399895702,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,531.0,582,2,582,582,2,2
202523998959,20252399895902,1,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11292,1129202,30325,DEN,US,8,CO,Colorado,82,XWA:DEN,66:82,0,UA,0,UA,OO,UA,UA,0.0,1,601.0,582,2,582,582,2,2
202524005119,20252400511903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11413,1141307,30285,DRO,US,8,CO,Colorado,82,XWA:DEN:DRO,66:82:82,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,206.5,833,2,833,793,2,2
202525468959,20252546895903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14869,1486903,34614,SLC,US,49,UT,Utah,87,XWA:DEN:SLC,66:82:87,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,282.5,973,2,973,656,2,2
202525476271,20252547627103,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14893,1489302,33192,SMF,US,6,CA,California,91,XWA:DEN:SMF,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,177.5,1491,3,1491,1109,2,2
202525476274,20252547627403,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14893,1489302,33192,SMF,US,6,CA,California,91,XWA:DEN:SMF,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,285.5,1491,3,1491,1109,2,2
202525483970,20252548397003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14908,1490803,32575,SNA,US,6,CA,California,91,XWA:DEN:SNA,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,499.0,1428,3,1428,1244,2,2
202525518888,20252551888803,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15370,1537002,34653,TUL,US,40,OK,Oklahoma,73,XWA:DEN:TUL,66:82:73,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,382.5,1123,3,1123,924,2,2
202525518892,20252551889203,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15370,1537002,34653,TUL,US,40,OK,Oklahoma,73,XWA:DEN:TUL,66:82:73,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,868.0,1123,3,1123,924,2,2
202525521532,20252552153204,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15376,1537604,30436,TUS,US,4,AZ,Arizona,81,XWA:DEN:TUS,66:82:81,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,137.32,1221,3,1221,1176,2,2
202525528684,20252552868403,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15919,1591905,31834,XNA,US,5,AR,Arkansas,71,XWA:DEN:XNA,66:82:71,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,484.5,1198,3,1198,956,2,2
202525529610,20252552961001,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,12896,1289607,32896,LBB,US,48,TX,Texas,74,XWA:DEN:LBB,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,513.0,1038,3,1038,1012,2,2
202525529611,20252552961101,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13495,1349505,33495,MSY,US,22,LA,Louisiana,72,XWA:DEN:MSY,66:82:72,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,240.0,1644,4,1644,1449,2,2
202525529612,20252552961201,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13495,1349505,33495,MSY,US,22,LA,Louisiana,72,XWA:DEN:MSY,66:82:72,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,471.5,1644,4,1644,1449,2,2
202525529614,20252552961401,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13830,1383002,33830,OGG,US,15,HI,Hawaii,2,XWA:DEN:OGG,66:82:2,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,483.5,3884,8,3884,3455,1,1
202525529616,20252552961601,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14679,1467903,33570,SAN,US,6,CA,California,91,XWA:DEN:SAN,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,214.0,1435,3,1435,1280,2,2
202525529617,20252552961701,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14683,1468305,33214,SAT,US,48,TX,Texas,74,XWA:DEN:SAT,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,125.5,1376,3,1376,1322,2,2
202524467346,20252446734603,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10397,1039707,30397,ATL,US,13,GA,Georgia,34,XWA:DEN:ATL,66:82:34,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,341.0,1781,4,1781,1421,2,2
202524467350,20252446735003,3,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10397,1039707,30397,ATL,US,13,GA,Georgia,34,XWA:DEN:IAH:ATL,66:82:74:34,0,UA:UA:UA,0,UA:UA:UA,UA,UA,UA,0.0,1,189.65,2133,5,2133,1421,2,2
202524475831,20252447583103,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10423,1042302,30423,AUS,US,48,TX,Texas,74,XWA:DEN:AUS,66:82:74,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,241.0,1357,3,1357,1287,2,2
202524502060,20252450206003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10693,1069302,30693,BNA,US,47,TN,Tennessee,54,XWA:DEN:BNA,66:82:54,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,293.5,1596,4,1596,1207,2,2
202524514055,20252451405503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10713,1071302,30713,BOI,US,16,ID,Idaho,83,XWA:DEN:BOI,66:82:83,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,337.0,1231,3,1231,682,2,2
202524102159,20252410215903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,12945,1294503,32945,LEX,US,21,KY,Kentucky,52,XWA:DEN:LEX,66:82:52,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,545.0,1668,4,1668,1192,2,2
202524112795,20252411279505,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,642.63,1145,3,1145,1129,2,2
202524113352,20252411335203,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,203.5,1145,3,1145,1129,2,2
202524113353,20252411335303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,210.0,1145,3,1145,1129,2,2
202524113356,20252411335603,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,255.0,1145,3,1145,1129,2,2
202524113357,20252411335703,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,349.5,1145,3,1145,1129,2,2
202524113373,20252411337303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13158,1315805,33158,MAF,US,48,TX,Texas,74,XWA:DEN:MAF,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,795.5,1145,3,1145,1129,2,2
202524153340,20252415334003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13851,1385103,33851,OKC,US,40,OK,Oklahoma,73,XWA:DEN:OKC,66:82:73,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,486.0,1077,3,1077,942,2,2
202524200452,20252420045203,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14262,1426204,34262,PSP,US,6,CA,California,91,XWA:DEN:PSP,66:82:91,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,134.0,1358,3,1358,1195,2,2
202524228650,20252422865003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14683,1468305,33214,SAT,US,48,TX,Texas,74,XWA:DEN:SAT,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,156.5,1376,3,1376,1322,2,2
202523917943,20252391794303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10140,1014005,30140,ABQ,US,35,NM,New Mexico,86,XWA:DEN:ABQ,66:82:86,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,131.0,931,2,931,924,2,2
202523917945,20252391794503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10140,1014005,30140,ABQ,US,35,NM,New Mexico,86,XWA:DEN:ABQ,66:82:86,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,281.5,931,2,931,924,2,2
202523917946,20252391794603,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10140,1014005,30140,ABQ,US,35,NM,New Mexico,86,XWA:DEN:ABQ,66:82:86,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,313.5,931,2,931,924,2,2
202523942479,20252394247903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10561,1056103,30561,BFL,US,6,CA,California,91,XWA:DEN:BFL,66:82:91,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,270.5,1427,3,1427,1182,2,2
202523942480,20252394248003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10561,1056103,30561,BFL,US,6,CA,California,91,XWA:DEN:BFL,66:82:91,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,271.0,1427,3,1427,1182,2,2
202523943087,20252394308704,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10561,1056103,30561,BFL,US,6,CA,California,91,XWA:DEN:BFL,66:82:91,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,366.3,1427,3,1427,1182,2,2
202525249495,20252524949503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14057,1405702,34057,PDX,US,41,OR,Oregon,92,XWA:DEN:PDX,66:82:92,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,191.0,1573,4,1573,908,2,2
202525269344,20252526934403,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14107,1410702,30466,PHX,US,4,AZ,Arizona,81,XWA:DEN:PHX,66:82:81,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,223.5,1184,3,1184,1109,2,2
202525269347,20252526934703,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14107,1410702,30466,PHX,US,4,AZ,Arizona,81,XWA:DEN:PHX,66:82:81,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,256.0,1184,3,1184,1109,2,2
202525269353,20252526935303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14107,1410702,30466,PHX,US,4,AZ,Arizona,81,XWA:DEN:PHX,66:82:81,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,548.5,1184,3,1184,1109,2,2
202525291058,20252529105803,3,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14252,1425203,34252,PSC,US,53,WA,Washington,93,XWA:DEN:SFO:PSC,66:82:91:93,0,UA:UA:UA,0,UA:UA:UA,UA,UA,UA,0.0,1,699.52,2169,5,2169,734,2,2
202525291733,20252529173303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14262,1426204,34262,PSP,US,6,CA,California,91,XWA:DEN:PSP,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,482.5,1358,3,1358,1195,2,2
202525308144,20252530814404,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14492,1449202,34492,RDU,US,37,NC,North Carolina,36,XWA:DEN:RDU,66:82:36,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,379.44,2018,5,2018,1531,2,2
202525317675,20252531767503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14570,1457002,34570,RNO,US,32,NV,Nevada,85,XWA:DEN:RNO,66:82:85,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,216.5,1386,3,1386,999,2,2
202525360206,20252536020604,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14747,1474703,30559,SEA,US,53,WA,Washington,93,XWA:DEN:SEA,66:82:93,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,369.08,1606,4,1606,863,2,2
202525388865,20252538886503,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14771,1477104,32457,SFO,US,6,CA,California,91,XWA:DEN:SFO,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,322.5,1549,4,1549,1191,2,2
